Title,Label,Date,SourceType,NLP_Confidence,Matched_Localities
IMD issues orange alert for Kozhikode as monsoon intensifies across northern Kerala districts,1,2025-05-23,real-dated,62.8,
Kozhikode coast placed under red alert as early monsoon brings high wave warnings,1,2025-05-26,real-dated,62.2,
"Southwest monsoon arrives over Kerala eight days early, heaviest since 2009, Kozhikode among affected coastal districts",1,2025-05-24,real-dated,62.0,
Thousands evacuated from low-lying Kozhikode neighbourhoods as monsoon flooding overwhelms drainage systems,1,2025-06-15,real-dated,60.7,
"Dam authorities release water from key reservoirs as Kerala monsoon rainfall intensifies, Kozhikode on alert",1,2025-07-02,real-dated,62.9,
IMD red warning issued for Kozhikode and Wayanad districts as extremely heavy rainfall recorded,1,2026-07-07,real-dated,62.7,
Automatic weather stations in Kozhikode district record some of the season's heaviest rainfall readings,1,2026-07-07,real-dated,59.5,
Schools shut in Kozhikode and Wayanad as IMD issues yellow alert across eleven Kerala districts,1,2026-07-08,real-dated,63.4,
"Chathamangalam, Mavoor and Kodiyathur face flood threat as Chaliyar and other rivers overflow banks",1,2026-07-08,real-dated,62.0,
Authorities open shutters of Oorkadavu regulator-cum-bridge as river levels rise near Kozhikode,1,2026-07-08,real-dated,61.0,
Kerala remains on alert as yellow warning extends toward Kozhikode and Idukki through July 23,1,2026-07-18,real-dated,61.4,
Thunderstorms and frequent lightning forecast to continue over Kozhikode district into next week,1,2026-07-18,real-dated,60.4,
Flash floods reported in Kallai after overnight downpour,1,,synthetic,62.4,Kallai
"Waterlogging cuts off Mavoor Road, traffic diverted for hours",1,,synthetic,60.8,Mavoor Road
KSDMA warns of flash flood risk in Kozhikode for next 48 hours,1,,synthetic,61.1,
Rescue operations underway as Chevayur residents stranded by rising water,1,,synthetic,61.5,Chevayur
Several homes submerged in Beypore after river overflow,1,,synthetic,61.0,Beypore
Heavy downpour triggers landslide warning near Kozhikode hills,1,,synthetic,62.7,
NDRF team deployed for flood rescue operations in Kozhikode district,1,,synthetic,63.2,
Drainage overflow floods SM Street market area during peak monsoon spell,1,,synthetic,59.4,SM Street
"Kozhikode Medical College Road inundated, ambulances rerouted through service lanes",1,,synthetic,57.1,Medical College
District collector declares school holiday for Kozhikode due to flood threat,1,,synthetic,61.5,
Railway services disrupted as tracks near Kozhikode go under water,1,,synthetic,61.5,
Kerala Disaster Management Authority activates flood control room in Kozhikode,1,,synthetic,60.0,
Puthiyara residents wade through knee-deep water after sudden cloudburst,1,,synthetic,60.2,Puthiyara
Evacuation ordered in Ramanattukara amid flood alert,1,,synthetic,61.6,
Kozhikode Corporation deploys emergency pumps to clear waterlogged roads overnight,1,,synthetic,58.0,
Red alert issued for Kozhikode as dam shutters opened amid heavy inflow,1,,synthetic,62.9,
Vellayil low-lying areas report ankle-deep waterlogging after continuous rain,1,,synthetic,61.1,Vellayil
Traffic snarls on Mini Bypass as stormwater drains fail to cope with downpour,1,,synthetic,60.4,Mini Bypass
Fire and rescue services respond to flooded homes near Kottooli,1,,synthetic,62.1,Kottooli
Coastal fishing suspended near Kozhikode as high waves accompany flood warning,1,,synthetic,61.4,
Kozhikode district administration sets up relief camps as rain-related flooding spreads,1,,synthetic,59.9,
Landslide risk prompts overnight evacuation advisory for hilly parts of Kozhikode district,1,,synthetic,62.9,
Power supply disrupted in several Kozhikode wards as flood water reaches transformers,1,,synthetic,60.4,
"Beypore International Water Festival opens with kayaking, sailing and cultural events across three venues",0,2025-01-04,real-dated,38.3,Beypore
Kerala Literature Festival draws hundreds of thousands to Kozhikode Beach for its eighth edition,0,2025-01-23,real-dated,34.8,Kozhikode Beach
Ninth edition of Kerala Literature Festival returns to Kozhikode Beach with global speakers,0,2026-01-22,real-dated,35.4,Kozhikode Beach
Kozhikode positioned as adventure tourism hub as water festival features kayaking and paramotoring,0,2025-01-05,real-dated,37.6,
Kozhikode infrastructure bottlenecks highlighted in 2025 economic review of Malabar region,0,2025-11-10,real-dated,38.3,
Flood of complaints against Kozhikode civic body over pothole-ridden roads,0,,synthetic,40.4,
Kozhikode drainage tender approved for next fiscal year infrastructure upgrade,0,,synthetic,38.8,
Last year's flood: a retrospective on Kozhikode's recovery and rebuilding efforts,0,,synthetic,39.9,
Kozhikode IT park sees flood of new job openings this quarter,0,,synthetic,38.7,
"Traffic block near SM Street due to festival procession, not weather related",0,,synthetic,40.5,SM Street
New multi-level parking facility inaugurated at Kozhikode airport,0,,synthetic,37.5,
"Rain expected to bring relief from summer heat, IMD says, no warning issued",0,,synthetic,42.6,
Kozhikode Corporation wins state award for best urban sanitation practices,0,,synthetic,36.4,
"Mild showers likely over Kozhikode this weekend, weather department confirms no alert",0,,synthetic,39.5,
Kozhikode beach cleanup drive removes tonnes of plastic waste ahead of tourist season,0,,synthetic,37.9,Kozhikode Beach
